"h";"date";"prediction"
1;"16.03.2021";15474.3266312491
2;"17.03.2021";22587.4440125179
3;"18.03.2021";23804.5939377057
4;"19.03.2021";23711.027863431
5;"20.03.2021";24922.2646705505
6;"21.03.2021";17768.715069792
7;"22.03.2021";13468.5437055956
8;"23.03.2021";18245.1411030723
9;"24.03.2021";26164.7041339979
10;"25.03.2021";29121.993239458
11;"26.03.2021";30727.5606344561
12;"27.03.2021";29305.9704416872
13;"28.03.2021";25454.6823449914
14;"29.03.2021";15309.5699526127
15;"30.03.2021";20737.7025359703
16;"31.03.2021";28431.0832720971
17;"01.04.2021";31351.5974145179
18;"02.04.2021";28685.0856961002
19;"03.04.2021";27109.8868081586
20;"04.04.2021";20822.0133285006
21;"05.04.2021";10298.0862726027
22;"06.04.2021";9297.10916711051
23;"07.04.2021";24552.7891611367
24;"08.04.2021";32035.351373327
25;"09.04.2021";30595.1056790847
26;"10.04.2021";30588.2125157985
27;"11.04.2021";27197.0996203193
28;"12.04.2021";16501.989993106
29;"13.04.2021";21328.0545975027
30;"14.04.2021";27220.7639133104
