"h";"date";"prediction"
1;"26.09.2021";584.454545454545
2;"27.09.2021";510.054545454545
3;"28.09.2021";657.054545454545
4;"29.09.2021";721.754545454545
5;"30.09.2021";733.954545454545
6;"01.10.2021";704.454545454545
7;"02.10.2021";750.023140495868
8;"03.10.2021";649.973553719008
9;"04.10.2021";575.573553719008
10;"05.10.2021";722.573553719008
11;"06.10.2021";787.273553719008
12;"07.10.2021";799.473553719008
13;"08.10.2021";769.973553719008
14;"09.10.2021";815.54214876033
15;"10.10.2021";715.492561983471
16;"11.10.2021";641.092561983471
17;"12.10.2021";788.092561983471
18;"13.10.2021";852.792561983471
19;"14.10.2021";864.992561983471
20;"15.10.2021";835.492561983471
21;"16.10.2021";881.061157024793
22;"17.10.2021";781.011570247933
23;"18.10.2021";706.611570247933
24;"19.10.2021";853.611570247933
25;"20.10.2021";918.311570247933
26;"21.10.2021";930.511570247933
27;"22.10.2021";901.011570247933
28;"23.10.2021";946.580165289256
29;"24.10.2021";846.530578512396
30;"25.10.2021";772.130578512396
