"h";"date";"prediction"
1;"06.08.2020";18.1176470588235
2;"07.08.2020";18.2352941176471
3;"08.08.2020";18.3529411764706
4;"09.08.2020";18.4705882352941
5;"10.08.2020";18.5882352941176
6;"11.08.2020";18.7058823529412
7;"12.08.2020";18.8235294117647
8;"13.08.2020";18.9411764705882
9;"14.08.2020";19.0588235294118
10;"15.08.2020";19.1764705882353
11;"16.08.2020";19.2941176470588
12;"17.08.2020";19.4117647058824
13;"18.08.2020";19.5294117647059
14;"19.08.2020";19.6470588235294
15;"20.08.2020";19.7647058823529
16;"21.08.2020";19.8823529411765
17;"22.08.2020";20
18;"23.08.2020";20.1176470588235
19;"24.08.2020";20.2352941176471
20;"25.08.2020";20.3529411764706
21;"26.08.2020";20.4705882352941
22;"27.08.2020";20.5882352941176
23;"28.08.2020";20.7058823529412
24;"29.08.2020";20.8235294117647
25;"30.08.2020";20.9411764705882
26;"31.08.2020";21.0588235294118
27;"01.09.2020";21.1764705882353
28;"02.09.2020";21.2941176470588
29;"03.09.2020";21.4117647058824
30;"04.09.2020";21.5294117647059
