"h";"date";"prediction"
1;"06.08.2020";640
2;"07.08.2020";640
3;"08.08.2020";640
4;"09.08.2020";640
5;"10.08.2020";640
6;"11.08.2020";640
7;"12.08.2020";640
8;"13.08.2020";640
9;"14.08.2020";640
10;"15.08.2020";640
11;"16.08.2020";640
12;"17.08.2020";640
13;"18.08.2020";640
14;"19.08.2020";640
15;"20.08.2020";640
16;"21.08.2020";640
17;"22.08.2020";640
18;"23.08.2020";640
19;"24.08.2020";640
20;"25.08.2020";640
21;"26.08.2020";640
22;"27.08.2020";640
23;"28.08.2020";640
24;"29.08.2020";640
25;"30.08.2020";640
26;"31.08.2020";640
27;"01.09.2020";640
28;"02.09.2020";640
29;"03.09.2020";640
30;"04.09.2020";640
