"h";"date";"prediction"
1;"21.10.2020";6526
2;"22.10.2020";8099
3;"23.10.2020";7705
4;"24.10.2020";9622
5;"25.10.2020";8536
6;"26.10.2020";7482
7;"27.10.2020";9291
8;"28.10.2020";6526
9;"29.10.2020";8099
10;"30.10.2020";7705
11;"31.10.2020";9622
12;"01.11.2020";8536
13;"02.11.2020";7482
14;"03.11.2020";9291
15;"04.11.2020";6526
16;"05.11.2020";8099
17;"06.11.2020";7705
18;"07.11.2020";9622
19;"08.11.2020";8536
20;"09.11.2020";7482
21;"10.11.2020";9291
22;"11.11.2020";6526
23;"12.11.2020";8099
24;"13.11.2020";7705
25;"14.11.2020";9622
26;"15.11.2020";8536
27;"16.11.2020";7482
28;"17.11.2020";9291
29;"18.11.2020";6526
30;"19.11.2020";8099
