"h";"date";"prediction"
1;"16.03.2021";9954
2;"17.03.2021";17260
3;"18.03.2021";21045
4;"19.03.2021";18775
5;"20.03.2021";21049
6;"21.03.2021";17259
7;"22.03.2021";10896
8;"23.03.2021";9954
9;"24.03.2021";17260
10;"25.03.2021";21045
11;"26.03.2021";18775
12;"27.03.2021";21049
13;"28.03.2021";17259
14;"29.03.2021";10896
15;"30.03.2021";9954
16;"31.03.2021";17260
17;"01.04.2021";21045
18;"02.04.2021";18775
19;"03.04.2021";21049
20;"04.04.2021";17259
21;"05.04.2021";10896
22;"06.04.2021";9954
23;"07.04.2021";17260
24;"08.04.2021";21045
25;"09.04.2021";18775
26;"10.04.2021";21049
27;"11.04.2021";17259
28;"12.04.2021";10896
29;"13.04.2021";9954
30;"14.04.2021";17260
