"h";"date";"prediction"
1;"26.09.2021";20
2;"27.09.2021";20
3;"28.09.2021";20
4;"29.09.2021";20
5;"30.09.2021";20
6;"01.10.2021";20
7;"02.10.2021";20
8;"03.10.2021";20
9;"04.10.2021";20
10;"05.10.2021";20
11;"06.10.2021";20
12;"07.10.2021";20
13;"08.10.2021";20
14;"09.10.2021";20
15;"10.10.2021";20
16;"11.10.2021";20
17;"12.10.2021";20
18;"13.10.2021";20
19;"14.10.2021";20
20;"15.10.2021";20
21;"16.10.2021";20
22;"17.10.2021";20
23;"18.10.2021";20
24;"19.10.2021";20
25;"20.10.2021";20
26;"21.10.2021";20
27;"22.10.2021";20
28;"23.10.2021";20
29;"24.10.2021";20
30;"25.10.2021";20
