"h";"date";"prediction"
1;"06.08.2020";15
2;"07.08.2020";7
3;"08.08.2020";5
4;"09.08.2020";10
5;"10.08.2020";1
6;"11.08.2020";6
7;"12.08.2020";18
8;"13.08.2020";15
9;"14.08.2020";7
10;"15.08.2020";5
11;"16.08.2020";10
12;"17.08.2020";1
13;"18.08.2020";6
14;"19.08.2020";18
15;"20.08.2020";15
16;"21.08.2020";7
17;"22.08.2020";5
18;"23.08.2020";10
19;"24.08.2020";1
20;"25.08.2020";6
21;"26.08.2020";18
22;"27.08.2020";15
23;"28.08.2020";7
24;"29.08.2020";5
25;"30.08.2020";10
26;"31.08.2020";1
27;"01.09.2020";6
28;"02.09.2020";18
29;"03.09.2020";15
30;"04.09.2020";7
