"h";"date";"prediction"
1;"26.09.2021";1
2;"27.09.2021";0
3;"28.09.2021";15
4;"29.09.2021";20
5;"30.09.2021";14
6;"01.10.2021";14
7;"02.10.2021";20
8;"03.10.2021";1
9;"04.10.2021";0
10;"05.10.2021";15
11;"06.10.2021";20
12;"07.10.2021";14
13;"08.10.2021";14
14;"09.10.2021";20
15;"10.10.2021";1
16;"11.10.2021";0
17;"12.10.2021";15
18;"13.10.2021";20
19;"14.10.2021";14
20;"15.10.2021";14
21;"16.10.2021";20
22;"17.10.2021";1
23;"18.10.2021";0
24;"19.10.2021";15
25;"20.10.2021";20
26;"21.10.2021";14
27;"22.10.2021";14
28;"23.10.2021";20
29;"24.10.2021";1
30;"25.10.2021";0
