"h";"date";"prediction"
1;"16.03.2021";28.0746666666667
2;"17.03.2021";28.1493333333333
3;"18.03.2021";28.224
4;"19.03.2021";28.2986666666667
5;"20.03.2021";28.3733333333333
6;"21.03.2021";28.448
7;"22.03.2021";28.5226666666667
8;"23.03.2021";28.5973333333333
9;"24.03.2021";28.672
10;"25.03.2021";28.7466666666667
11;"26.03.2021";28.8213333333333
12;"27.03.2021";28.896
13;"28.03.2021";28.9706666666667
14;"29.03.2021";29.0453333333333
15;"30.03.2021";29.12
16;"31.03.2021";29.1946666666667
17;"01.04.2021";29.2693333333333
18;"02.04.2021";29.344
19;"03.04.2021";29.4186666666667
20;"04.04.2021";29.4933333333333
21;"05.04.2021";29.568
22;"06.04.2021";29.6426666666667
23;"07.04.2021";29.7173333333333
24;"08.04.2021";29.792
25;"09.04.2021";29.8666666666667
26;"10.04.2021";29.9413333333333
27;"11.04.2021";30.016
28;"12.04.2021";30.0906666666667
29;"13.04.2021";30.1653333333333
30;"14.04.2021";30.24
