"h";"date";"prediction"
1;"16.03.2021";10896
2;"17.03.2021";10896
3;"18.03.2021";10896
4;"19.03.2021";10896
5;"20.03.2021";10896
6;"21.03.2021";10896
7;"22.03.2021";10896
8;"23.03.2021";10896
9;"24.03.2021";10896
10;"25.03.2021";10896
11;"26.03.2021";10896
12;"27.03.2021";10896
13;"28.03.2021";10896
14;"29.03.2021";10896
15;"30.03.2021";10896
16;"31.03.2021";10896
17;"01.04.2021";10896
18;"02.04.2021";10896
19;"03.04.2021";10896
20;"04.04.2021";10896
21;"05.04.2021";10896
22;"06.04.2021";10896
23;"07.04.2021";10896
24;"08.04.2021";10896
25;"09.04.2021";10896
26;"10.04.2021";10896
27;"11.04.2021";10896
28;"12.04.2021";10896
29;"13.04.2021";10896
30;"14.04.2021";10896
