"h";"date";"prediction"
1;"21.10.2020";116
2;"22.10.2020";91
3;"23.10.2020";132
4;"24.10.2020";84
5;"25.10.2020";49
6;"26.10.2020";41
7;"27.10.2020";107
8;"28.10.2020";116
9;"29.10.2020";91
10;"30.10.2020";132
11;"31.10.2020";84
12;"01.11.2020";49
13;"02.11.2020";41
14;"03.11.2020";107
15;"04.11.2020";116
16;"05.11.2020";91
17;"06.11.2020";132
18;"07.11.2020";84
19;"08.11.2020";49
20;"09.11.2020";41
21;"10.11.2020";107
22;"11.11.2020";116
23;"12.11.2020";91
24;"13.11.2020";132
25;"14.11.2020";84
26;"15.11.2020";49
27;"16.11.2020";41
28;"17.11.2020";107
29;"18.11.2020";116
30;"19.11.2020";91
