"h";"date";"prediction"
1;"16.03.2021";10925.056
2;"17.03.2021";10954.112
3;"18.03.2021";10983.168
4;"19.03.2021";11012.224
5;"20.03.2021";11041.28
6;"21.03.2021";11070.336
7;"22.03.2021";11099.392
8;"23.03.2021";11128.448
9;"24.03.2021";11157.504
10;"25.03.2021";11186.56
11;"26.03.2021";11215.616
12;"27.03.2021";11244.672
13;"28.03.2021";11273.728
14;"29.03.2021";11302.784
15;"30.03.2021";11331.84
16;"31.03.2021";11360.896
17;"01.04.2021";11389.952
18;"02.04.2021";11419.008
19;"03.04.2021";11448.064
20;"04.04.2021";11477.12
21;"05.04.2021";11506.176
22;"06.04.2021";11535.232
23;"07.04.2021";11564.288
24;"08.04.2021";11593.344
25;"09.04.2021";11622.4
26;"10.04.2021";11651.456
27;"11.04.2021";11680.512
28;"12.04.2021";11709.568
29;"13.04.2021";11738.624
30;"14.04.2021";11767.68
