"h";"date";"prediction"
1;"21.10.2020";9291
2;"22.10.2020";9291
3;"23.10.2020";9291
4;"24.10.2020";9291
5;"25.10.2020";9291
6;"26.10.2020";9291
7;"27.10.2020";9291
8;"28.10.2020";9291
9;"29.10.2020";9291
10;"30.10.2020";9291
11;"31.10.2020";9291
12;"01.11.2020";9291
13;"02.11.2020";9291
14;"03.11.2020";9291
15;"04.11.2020";9291
16;"05.11.2020";9291
17;"06.11.2020";9291
18;"07.11.2020";9291
19;"08.11.2020";9291
20;"09.11.2020";9291
21;"10.11.2020";9291
22;"11.11.2020";9291
23;"12.11.2020";9291
24;"13.11.2020";9291
25;"14.11.2020";9291
26;"15.11.2020";9291
27;"16.11.2020";9291
28;"17.11.2020";9291
29;"18.11.2020";9291
30;"19.11.2020";9291
