"h";"date";"prediction"
1;"21.10.2020";107
2;"22.10.2020";107
3;"23.10.2020";107
4;"24.10.2020";107
5;"25.10.2020";107
6;"26.10.2020";107
7;"27.10.2020";107
8;"28.10.2020";107
9;"29.10.2020";107
10;"30.10.2020";107
11;"31.10.2020";107
12;"01.11.2020";107
13;"02.11.2020";107
14;"03.11.2020";107
15;"04.11.2020";107
16;"05.11.2020";107
17;"06.11.2020";107
18;"07.11.2020";107
19;"08.11.2020";107
20;"09.11.2020";107
21;"10.11.2020";107
22;"11.11.2020";107
23;"12.11.2020";107
24;"13.11.2020";107
25;"14.11.2020";107
26;"15.11.2020";107
27;"16.11.2020";107
28;"17.11.2020";107
29;"18.11.2020";107
30;"19.11.2020";107
