"h";"date";"prediction"
1;"16.03.2021";28
2;"17.03.2021";28
3;"18.03.2021";28
4;"19.03.2021";28
5;"20.03.2021";28
6;"21.03.2021";28
7;"22.03.2021";28
8;"23.03.2021";28
9;"24.03.2021";28
10;"25.03.2021";28
11;"26.03.2021";28
12;"27.03.2021";28
13;"28.03.2021";28
14;"29.03.2021";28
15;"30.03.2021";28
16;"31.03.2021";28
17;"01.04.2021";28
18;"02.04.2021";28
19;"03.04.2021";28
20;"04.04.2021";28
21;"05.04.2021";28
22;"06.04.2021";28
23;"07.04.2021";28
24;"08.04.2021";28
25;"09.04.2021";28
26;"10.04.2021";28
27;"11.04.2021";28
28;"12.04.2021";28
29;"13.04.2021";28
30;"14.04.2021";28
