"h";"date";"prediction"
1;"26.09.2021";540
2;"27.09.2021";363
3;"28.09.2021";711
4;"29.09.2021";882
5;"30.09.2021";974
6;"01.10.2021";813
7;"02.10.2021";917
8;"03.10.2021";540
9;"04.10.2021";363
10;"05.10.2021";711
11;"06.10.2021";882
12;"07.10.2021";974
13;"08.10.2021";813
14;"09.10.2021";917
15;"10.10.2021";540
16;"11.10.2021";363
17;"12.10.2021";711
18;"13.10.2021";882
19;"14.10.2021";974
20;"15.10.2021";813
21;"16.10.2021";917
22;"17.10.2021";540
23;"18.10.2021";363
24;"19.10.2021";711
25;"20.10.2021";882
26;"21.10.2021";974
27;"22.10.2021";813
28;"23.10.2021";917
29;"24.10.2021";540
30;"25.10.2021";363
