"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"16.03.2021";15453.65056146;9290.33066689238;21616.9704560276;6002.61405979453;24904.6870631254
2;"17.03.2021";22859.7310644352;16656.6391796288;29062.8229492415;13347.7068908786;32371.7552379918
3;"18.03.2021";24095.9160882476;17885.148703006;30306.6834734891;14572.1220510424;33619.7101254527
4;"19.03.2021";24035.7708988884;17819.1140468286;30252.4277509482;14502.9457604542;33568.5960373227
5;"20.03.2021";25428.1023567063;19191.2563182071;31664.9483952055;15864.3184588305;34991.8862545821
6;"21.03.2021";17733.3234685723;11561.8642470339;23904.7826901107;8269.80585646378;27196.8410806808
7;"22.03.2021";13364.9563941486;7205.70692752991;19524.2058607672;3920.16161995807;22809.7511683391
8;"23.03.2021";18488.2652789549;12299.0088480505;24677.5217098593;8997.45684335782;27979.0737145519
9;"24.03.2021";26793.6998466719;20534.3424296189;33053.0572637249;17195.3962639421;36392.0034294018
10;"25.03.2021";29970.5007640172;23665.3665320301;36275.6349960044;20302.0015146218;39639.0000134127
11;"26.03.2021";31805.2416004923;25451.197516393;38159.2856845916;22061.7423826529;41548.7408183318
12;"27.03.2021";30261.4252036849;23938.8298634354;36584.0205439344;20566.1505192365;39956.6998881333
13;"28.03.2021";26249.3524071309;19969.4973593091;32529.2074549527;16619.6170863269;35879.087727935
14;"29.03.2021";15362.6645083475;9188.06181237116;21537.2672043238;5894.32658962449;24831.0024270705
15;"30.03.2021";21212.5701799226;14991.1609151609;27433.9794446844;11672.4575362663;30752.682823579
16;"31.03.2021";29265.7646043808;22962.0987969735;35569.430411788;19599.5170853095;38932.012123452
17;"01.04.2021";32401.5538149804;26046.1492984958;38756.958331465;22655.9684655833;42147.1391643775
18;"02.04.2021";29472.0408952545;23165.7687434313;35778.3130470777;19801.7967223291;39142.2850681798
19;"03.04.2021";27756.9189623058;21480.340572708;34033.4973519035;18132.208176494;37381.6297481175
20;"04.04.2021";21027.5483922562;14819.8787222118;27235.2180623005;11508.5044929476;30546.5922915647
21;"05.04.2021";9718.40362044633;3555.276951952;15881.5302889407;267.663417967487;19169.1438229252
22;"06.04.2021";8398.51932068371;2221.18690262069;14575.8517387467;-1074.00444325291;17871.0430846203
23;"07.04.2021";24885.2449809796;18649.6102769884;31120.8796849709;15323.3185830951;34447.1713788642
24;"08.04.2021";33108.6634407927;26737.5236868932;39479.8031946923;23338.9491632019;42878.3777183836
25;"09.04.2021";31546.6913265338;25198.102124923;37895.2805281446;21811.5568040846;41281.825848983
26;"10.04.2021";31580.5553653329;25229.8940623907;37931.216668275;21842.2434148656;41318.8673158002
27;"11.04.2021";28081.6733062869;21766.1127287725;34397.2338838014;18397.1859573213;37766.1606552526
28;"12.04.2021";16581.6244836078;10389.9995893725;22773.249377843;7087.18416880019;26076.0647984153
29;"13.04.2021";21760.0995580189;15525.8822360708;27994.316879967;12200.3466201617;31319.8524958761
30;"14.04.2021";27805.1720937698;21524.0901539627;34086.2540335768;18173.5554166295;37436.7887709101
