"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"16.03.2021";354.467633928571;162.812919287127;546.122348570015;60.4992291056207;648.436038751522
2;"17.03.2021";467.681919642857;276.027205001413;659.336634284301;173.713514819906;761.650324465808
3;"18.03.2021";434.681919642857;243.027205001413;626.336634284301;140.713514819906;728.650324465808
4;"19.03.2021";410.646205357143;218.991490715699;602.300919998587;116.677800534192;704.614610180094
5;"20.03.2021";397.467633928571;205.812919287127;589.122348570015;103.49922910562;691.436038751522
6;"21.03.2021";246.574776785714;54.9200621442702;438.229491427158;-47.3936280372366;540.543181608665
7;"22.03.2021";185.572429187192;-6.07352028927795;377.218378663662;-108.382531241394;479.527389615778
8;"23.03.2021";363.174761391626;171.309802919189;555.039719864062;68.8838753621137;657.465647421138
9;"24.03.2021";476.389047105911;284.524088633475;668.254005578348;182.098161076399;770.679933135423
10;"25.03.2021";443.389047105911;251.524088633475;635.254005578348;149.098161076399;737.679933135423
11;"26.03.2021";419.353332820197;227.488374347761;611.218291292633;125.062446790685;713.644218849709
12;"27.03.2021";406.174761391625;214.309802919189;598.039719864062;111.883875362113;700.465647421137
13;"28.03.2021";255.281904248768;63.4169457763319;447.146862721205;-39.0089817807435;549.57279027828
14;"29.03.2021";194.279556650246;2.41634925779528;386.142764042697;-100.008643496004;488.567756796496
15;"30.03.2021";371.88188885468;179.79292393307;563.970853776289;77.2474119113904;666.516365797969
16;"31.03.2021";485.096174568965;293.007209647356;677.185139490575;190.461697625676;779.730651512255
17;"01.04.2021";452.096174568965;260.007209647356;644.185139490575;157.461697625676;746.730651512255
18;"02.04.2021";428.060460283251;235.971495361642;620.149425204861;133.425983339962;722.694937226541
19;"03.04.2021";414.88188885468;222.79292393307;606.970853776289;120.24741191139;709.516365797969
20;"04.04.2021";263.989031711823;71.9000667902132;456.077996633432;-30.6454452314669;558.623508655112
21;"05.04.2021";202.9866841133;10.892472173459;395.080896053142;-91.6558409366199;497.629209163221
22;"06.04.2021";380.589016317734;188.262330417493;572.915702217975;85.5899125140411;675.588120121427
23;"07.04.2021";493.80330203202;301.476616131779;686.12998793226;198.804198228327;788.802405835712
24;"08.04.2021";460.80330203202;268.476616131779;653.12998793226;165.804198228327;755.802405835712
25;"09.04.2021";436.767587746305;244.440901846065;629.094273646546;141.768483942613;731.766691549998
26;"10.04.2021";423.589016317734;231.262330417493;615.915702217975;128.589912514041;718.588120121427
27;"11.04.2021";272.696159174877;80.3694732746359;465.022845075117;-22.3029446288161;567.69526297857
28;"12.04.2021";211.693811576355;19.3548979880017;404.032725164707;-83.3240475915133;506.711670744222
29;"13.04.2021";389.296143780788;196.718073160654;581.874214400923;93.9114550712279;684.680832490349
30;"14.04.2021";502.510429495074;309.932358874939;695.088500115208;207.125740785514;797.895118204634
