"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"26.09.2021";774.380678352629;250.099944471238;1298.66141223402;-27.4375112721355;1576.19886797739
2;"27.09.2021";514.172753737256;68.3529313768755;959.992576097637;-167.649826729157;1195.99533420367
3;"28.09.2021";1032.24540888819;-62.5395817689796;2127.03039954536;-642.083748199789;2706.57456597617
4;"29.09.2021";1250.49166110683;-328.728082292944;2829.7114045066;-1164.71651619567;3665.69983840932
5;"30.09.2021";1133.70164271201;-541.429130639028;2808.83241606305;-1428.18979687868;3695.59308230271
6;"01.10.2021";930.67124078481;-658.657672576867;2520.00015414649;-1499.99757779942;3361.34005936904
7;"02.10.2021";1103.63764895314;-1055.29438744379;3262.56968535006;-2198.16397196683;4405.43926987311
8;"03.10.2021";1008.64129324949;-1386.22993570611;3403.51252220509;-2653.99818421038;4671.28077070936
9;"04.10.2021";666.979471240477;-1113.43500013067;2447.39394261162;-2055.92948947579;3389.88843195675
10;"05.10.2021";1333.81318025933;-2660.62260879983;5328.2489693185;-4775.14918660949;7442.77554712816
11;"06.10.2021";1609.83971998238;-3789.35641342947;7009.03585339422;-6647.51819792408;9867.19763788883
12;"07.10.2021";1454.3396707441;-4000.27571071175;6908.95505219996;-6887.7746729956;9796.4540144838
13;"08.10.2021";1189.86819860322;-3794.74078566089;6174.47718286733;-6433.43339053009;8813.16978773652
14;"09.10.2021";1406.46875594879;-5168.2899475569;7981.22745945449;-8648.75696603481;11461.6944779324
15;"10.10.2021";1302.2108331299;-5740.96006962581;8345.3817358856;-9469.38952810521;12073.811194365
16;"11.10.2021";858.873771703294;-4295.97368493275;6013.72122833933;-7024.78509340924;8742.53263681583
17;"12.10.2021";1713.29681946485;-9703.66364194377;13130.2572808735;-15747.43743337;19174.0310722997
18;"13.10.2021";2062.93875546995;-13206.1071960561;17331.984706996;-21289.0518689266;25414.9293798665
19;"14.10.2021";1859.42299251974;-13432.1108778944;17150.9568629339;-21526.9599359345;25245.805920974
20;"15.10.2021";1517.95827548452;-12355.8684030372;15391.7849540063;-19700.2286073025;22736.1451582716
21;"16.10.2021";1790.51228099137;-16401.4467277471;19982.4712897298;-26031.68810796;29612.7126699428
22;"17.10.2021";1671.79684458477;-17690.3642946491;21033.9579838186;-27940.0732635312;31283.6669527007
23;"18.10.2021";1100.7966749342;-13020.1195636552;15221.7129135236;-20495.2810799089;22696.8744297773
24;"19.10.2021";2192.37151292142;-28990.5182386145;33375.2612644573;-45497.7429468284;49882.4859726712
25;"20.10.2021";2635.71370641271;-38966.4494229076;44237.876835733;-60989.3042832284;66260.7316960538
26;"21.10.2021";2372.16856282737;-39207.241229597;43951.5783552517;-61218.0512009419;65962.3883265967
27;"22.10.2021";1933.77676637251;-35728.0903181587;39595.6438509037;-55665.0784500755;59532.6319828205
28;"23.10.2021";2277.85137311907;-47038.6767291128;51594.3794753509;-73145.2697260748;77700.9724723129
29;"24.10.2021";2138.51748465108;-50278.1477631488;54555.1827324509;-78025.8542327854;82302.8892020875
30;"25.10.2021";1406.5885308687;-36789.2058007335;39602.3828624709;-57008.8379440124;59822.0150057498
