"h";"date";"prediction"
1;"21.10.2020";9430.92307254748
2;"22.10.2020";9750.6368826781
3;"23.10.2020";10070.3506928087
4;"24.10.2020";10390.0645029393
5;"25.10.2020";10709.77831307
6;"26.10.2020";11029.4921232006
7;"27.10.2020";11349.2059333312
8;"28.10.2020";11668.9197434618
9;"29.10.2020";11988.6335535925
10;"30.10.2020";12308.3473637231
11;"31.10.2020";12628.0611738537
12;"01.11.2020";12947.7749839843
13;"02.11.2020";13267.4887941149
14;"03.11.2020";13587.2026042456
15;"04.11.2020";13906.9164143762
16;"05.11.2020";14226.6302245068
17;"06.11.2020";14546.3440346374
18;"07.11.2020";14866.057844768
19;"08.11.2020";15185.7716548987
20;"09.11.2020";15505.4854650293
21;"10.11.2020";15825.1992751599
22;"11.11.2020";16144.9130852905
23;"12.11.2020";16464.6268954212
24;"13.11.2020";16784.3407055518
25;"14.11.2020";17104.0545156824
26;"15.11.2020";17423.768325813
27;"16.11.2020";17743.4821359436
28;"17.11.2020";18063.1959460743
29;"18.11.2020";18382.9097562049
30;"19.11.2020";18702.6235663355
