"h";"date";"prediction"
1;"21.10.2020";10714.5658079376
2;"22.10.2020";12762.7278953991
3;"23.10.2020";13494.6402461622
4;"24.10.2020";14473.8789929659
5;"25.10.2020";12232.4090412735
6;"26.10.2020";11353.0755787373
7;"27.10.2020";13206.9346701609
8;"28.10.2020";15381.9757164775
9;"29.10.2020";17907.9600939119
10;"30.10.2020";18553.2029241289
11;"31.10.2020";19539.6756377355
12;"01.11.2020";16244.372565801
13;"02.11.2020";14853.7587123576
14;"03.11.2020";17046.6752136243
15;"04.11.2020";19711.4531678262
16;"05.11.2020";22697.0587186992
17;"06.11.2020";23277.9500716423
18;"07.11.2020";24287.7233099193
19;"08.11.2020";20017.9502727576
20;"09.11.2020";18158.1472795311
21;"10.11.2020";20684.1083278481
22;"11.11.2020";23821.2747153132
23;"12.11.2020";27258.5731703902
24;"13.11.2020";27793.4385392473
25;"14.11.2020";28840.9046260346
26;"15.11.2020";23648.9767130918
27;"16.11.2020";21348.5514759261
28;"17.11.2020";24208.0608684928
29;"18.11.2020";27810.6499354397
30;"19.11.2020";31700.5219803448
