"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"26.09.2021";919.999799869865;-1935.14556696461;3775.14516670434;-3446.56822600893;5286.56782574866
2;"27.09.2021";923.00969982401;-3114.77559560388;4960.7949952519;-5252.25001591051;7098.26941555853
3;"28.09.2021";926.019599778154;-4019.4021017975;5871.4413013538;-6637.35021229183;8489.38941184814
4;"29.09.2021";929.029499732298;-4781.68957689594;6639.74857636054;-7804.76164605024;9662.82064551484
5;"30.09.2021";932.039399686442;-5453.02598387142;7317.1047832443;-8833.07542453738;10697.1542239103
6;"01.10.2021";935.049299640586;-6059.76583086351;7929.86443014469;-9762.59728977146;11632.6958890526
7;"02.10.2021";938.05919959473;-6617.56445488348;8493.68285407294;-10617.2700135713;12493.3884127608
8;"03.10.2021";941.069099548875;-7136.62180874526;9018.76000784301;-11412.6930776096;13294.8312767074
9;"04.10.2021";944.078999503019;-7624.02252174979;9512.18052075583;-12159.7014873961;14047.8594864021
10;"05.10.2021";947.088899457163;-8084.92465106775;9979.10244998208;-12866.1838106299;14760.3616095442
11;"06.10.2021";950.098799411307;-8523.22194191984;10423.4195407425;-13538.0950167424;15438.292615565
12;"07.10.2021";953.108699365451;-8941.93931039108;10848.156709122;-14180.0613156671;16086.278714398
13;"08.10.2021";956.118599319595;-9343.48220273604;11255.7194013752;-14795.7615199875;16707.9987186267
14;"09.10.2021";959.12849927374;-9729.80085450976;11648.0578530572;-15388.1782575994;17306.4352561469
15;"10.10.2021";962.138399227884;-10102.5024636234;12026.7792620792;-15959.7695255953;17884.0463240511
16;"11.10.2021";965.148299182028;-10462.9301449792;12393.2267433433;-16512.5894409582;18442.8860393222
17;"12.10.2021";968.158199136172;-10812.2199526606;12748.536350933;-17048.3754484759;18984.6918467483
18;"13.10.2021";971.168099090316;-11151.3429859633;13093.6791841439;-17568.6127163588;19510.9489145395
19;"14.10.2021";974.177999044461;-11481.1370878064;13429.4930858954;-18074.5826147761;20022.9386128651
20;"15.10.2021";977.187898998605;-11802.3311169456;13756.7069149428;-18567.399837002;20521.7756349992
21;"16.10.2021";980.197798952749;-12115.5638157364;14075.9594136419;-19048.0412551702;21008.4368530757
22;"17.10.2021";983.207698906893;-12421.3986752272;14387.814073041;-19517.3686544716;21483.7840522854
23;"18.10.2021";986.217598861037;-12720.3357889201;14692.7709866422;-19976.1468619169;21948.582059639
24;"19.10.2021";989.227498815181;-13012.8214088164;14991.2764064468;-20425.0583610473;22403.5133586776
25;"20.10.2021";992.237398769326;-13299.2557257225;15283.7305232612;-20864.7151908852;22849.1899884238
26;"21.10.2021";995.24729872347;-13579.9992611893;15570.4938586363;-21295.6687215623;23286.1633190092
27;"22.10.2021";998.257198677614;-13855.3781623829;15851.8925597382;-21718.4177521253;23714.9321494805
28;"23.10.2021";1001.26709863176;-14125.6886215975;16128.222818861;-22133.4152695977;24135.9494668612
29;"24.10.2021";1004.2769985859;-14391.2005910383;16399.7545882101;-22541.0741302499;24549.6281274217
30;"25.10.2021";1007.28689854005;-14652.1609255361;16666.7347226162;-22941.7718659667;24956.3456630468
