"h";"date";"prediction"
1;"26.09.2021";774.380678352629
2;"27.09.2021";514.172753737256
3;"28.09.2021";1032.24540888819
4;"29.09.2021";1250.49166110683
5;"30.09.2021";1133.70164271201
6;"01.10.2021";930.67124078481
7;"02.10.2021";1103.63764895314
8;"03.10.2021";1008.64129324949
9;"04.10.2021";666.979471240477
10;"05.10.2021";1333.81318025933
11;"06.10.2021";1609.83971998238
12;"07.10.2021";1454.3396707441
13;"08.10.2021";1189.86819860322
14;"09.10.2021";1406.46875594879
15;"10.10.2021";1302.2108331299
16;"11.10.2021";858.873771703294
17;"12.10.2021";1713.29681946485
18;"13.10.2021";2062.93875546995
19;"14.10.2021";1859.42299251974
20;"15.10.2021";1517.95827548452
21;"16.10.2021";1790.51228099137
22;"17.10.2021";1671.79684458477
23;"18.10.2021";1100.7966749342
24;"19.10.2021";2192.37151292142
25;"20.10.2021";2635.71370641271
26;"21.10.2021";2372.16856282737
27;"22.10.2021";1933.77676637251
28;"23.10.2021";2277.85137311907
29;"24.10.2021";2138.51748465108
30;"25.10.2021";1406.5885308687
