"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"21.10.2020";10714.5658079376;4409.67103014997;17019.4605857253;1072.06134458647;20357.0702712888
2;"22.10.2020";12762.7278953991;4737.49335729526;20787.962433503;489.190813427444;25036.2649773708
3;"23.10.2020";13494.6402461622;4074.74106566871;22914.5394266557;-911.852343092158;27901.1328354166
4;"24.10.2020";14473.8789929659;2982.38804054157;25965.3699453903;-3100.8398095884;32048.5977955203
5;"25.10.2020";12232.4090412735;1071.57858245493;23393.2395000921;-4836.60817579512;29301.4262583421
6;"26.10.2020";11353.0755787373;-564.754091384337;23270.9052488589;-6873.67202575333;29579.8231832279
7;"27.10.2020";13206.9346701609;-2688.19235166954;29102.0616919914;-11102.5643231458;37516.4336634677
8;"28.10.2020";15381.9757164775;-6024.06914986701;36788.0205828221;-17355.7448072025;48119.6962401576
9;"29.10.2020";17907.9600939119;-10246.762366121;46062.6825539449;-25150.9721410432;60966.892328867
10;"30.10.2020";18553.2029241289;-14268.6678302732;51375.073678531;-31643.5166721828;68749.9225204406
11;"31.10.2020";19539.6756377355;-19208.4646660249;58287.815941496;-39720.491104757;78799.842380228
12;"01.11.2020";16244.372565801;-19743.926583482;52232.671715084;-38794.9813656763;71283.7264972783
13;"02.11.2020";14853.7587123576;-21804.5423809653;51512.0598056806;-41210.274767876;70917.7921925912
14;"03.11.2020";17046.6752136243;-29707.6136232738;63800.9640505223;-54457.8390851521;88551.1895124007
15;"04.11.2020";19711.4531678262;-40447.0944579695;79870.000793622;-72293.1058985828;111716.012234235
16;"05.11.2020";22697.0587186992;-53844.5728244487;99238.6902618471;-94363.265013771;139757.382451169
17;"06.11.2020";23277.9500716423;-63417.2361214112;109973.136264696;-109310.895465112;155866.795608397
18;"07.11.2020";24287.7233099193;-75568.7629445164;124144.209564355;-128429.593685627;177005.040305465
19;"08.11.2020";20017.9502727576;-70808.656855541;110844.557401056;-118889.358333108;158925.258878623
20;"09.11.2020";18158.1472795311;-72745.4577755089;109061.752334571;-120866.919493353;157183.214052415
21;"10.11.2020";20684.1083278481;-93556.0997278349;134924.316383531;-154031.212846412;195399.429502109
22;"11.11.2020";23821.2747153132;-121283.415803151;168925.965233778;-198097.198992894;245739.74842352
23;"12.11.2020";27258.5731703902;-155524.443372168;210041.589712948;-252283.927530128;306801.073870909
24;"13.11.2020";27793.4385392473;-177500.771565385;233087.64864388;-286176.961761181;341763.838839676
25;"14.11.2020";28840.9046260346;-205956.961944461;263638.77119653;-330251.444443392;387933.253695461
26;"15.11.2020";23648.9767130918;-188661.49937231;235959.452798494;-301051.876421216;348349.8298474
27;"16.11.2020";21348.5514759261;-190100.704707612;232797.807659464;-302035.179479451;344732.282431303
28;"17.11.2020";24208.0608684928;-240440.320937922;288856.442674907;-380536.711681454;428952.83341844
29;"18.11.2020";27810.6499354397;-307193.13727547;362814.43714635;-484533.429905687;540154.729776566
30;"19.11.2020";31700.5219803448;-389130.073426958;452531.117387647;-611904.333857315;675305.377818004
