"h";"date";"prediction"
1;"06.08.2020";630.648971822252
2;"07.08.2020";630.648971822252
3;"08.08.2020";630.648971822252
4;"09.08.2020";630.648971822252
5;"10.08.2020";630.648971822252
6;"11.08.2020";630.648971822252
7;"12.08.2020";630.648971822252
8;"13.08.2020";630.648971822252
9;"14.08.2020";630.648971822252
10;"15.08.2020";630.648971822252
11;"16.08.2020";630.648971822252
12;"17.08.2020";630.648971822252
13;"18.08.2020";630.648971822252
14;"19.08.2020";630.648971822252
15;"20.08.2020";630.648971822252
16;"21.08.2020";630.648971822252
17;"22.08.2020";630.648971822252
18;"23.08.2020";630.648971822252
19;"24.08.2020";630.648971822252
20;"25.08.2020";630.648971822252
21;"26.08.2020";630.648971822252
22;"27.08.2020";630.648971822252
23;"28.08.2020";630.648971822252
24;"29.08.2020";630.648971822252
25;"30.08.2020";630.648971822252
26;"31.08.2020";630.648971822252
27;"01.09.2020";630.648971822252
28;"02.09.2020";630.648971822252
29;"03.09.2020";630.648971822252
30;"04.09.2020";630.648971822252
