"h";"date";"prediction"
1;"21.10.2020";105.899776969956
2;"22.10.2020";110.361715748825
3;"23.10.2020";115.979327749086
4;"24.10.2020";123.000352019714
5;"25.10.2020";80.4167957916853
6;"26.10.2020";73.6262594741291
7;"27.10.2020";87.3942375888479
8;"28.10.2020";120.850796446835
9;"29.10.2020";120.435585743092
10;"30.10.2020";120.313033431936
11;"31.10.2020";119.307629514143
12;"01.11.2020";112.020534078111
13;"02.11.2020";101.984270424613
14;"03.11.2020";108.58391800307
15;"04.11.2020";117.043047617411
16;"05.11.2020";129.602278445601
17;"06.11.2020";132.031082888659
18;"07.11.2020";128.780342978351
19;"08.11.2020";119.574097959475
20;"09.11.2020";119.464628759129
21;"10.11.2020";124.236246806244
22;"11.11.2020";123.437661160712
23;"12.11.2020";127.602256024832
24;"13.11.2020";130.184294746364
25;"14.11.2020";127.920367096903
26;"15.11.2020";125.845980510965
27;"16.11.2020";123.124482244617
28;"17.11.2020";124.673246742101
29;"18.11.2020";126.657144728927
30;"19.11.2020";130.138387957763
