"h";"date";"prediction"
1;"16.03.2021";13157.7158132062
2;"17.03.2021";22373.7154232462
3;"18.03.2021";25116.8829643508
4;"19.03.2021";23573.4498338135
5;"20.03.2021";24974.9088680902
6;"21.03.2021";22133.2716369902
7;"22.03.2021";14686.7519853484
8;"23.03.2021";19091.2615080936
9;"24.03.2021";25726.2349629884
10;"25.03.2021";28631.2661148517
11;"26.03.2021";27759.3349085444
12;"27.03.2021";27682.2619834015
13;"28.03.2021";23720.9304194885
14;"29.03.2021";18917.6098355111
15;"30.03.2021";21514.5819673505
16;"31.03.2021";26984.4421629707
17;"01.04.2021";29936.1960835707
18;"02.04.2021";27554.5800554618
19;"03.04.2021";29119.3082184539
20;"04.04.2021";25079.2421292041
21;"05.04.2021";19356.0633879282
22;"06.04.2021";19703.6464083974
23;"07.04.2021";25049.9262296082
24;"08.04.2021";28696.0767929436
25;"09.04.2021";28027.3225305012
26;"10.04.2021";27190.1268718732
27;"11.04.2021";25014.4655477927
28;"12.04.2021";21704.361595127
29;"13.04.2021";23108.4840879544
30;"14.04.2021";26631.1208547052
