"h";"date";"prediction"
1;"21.10.2020";10183.6498570398
2;"22.10.2020";11714.0306186627
3;"23.10.2020";11769.1793890912
4;"24.10.2020";13091.8965970659
5;"25.10.2020";12121.3113559976
6;"26.10.2020";11800.67083992
7;"27.10.2020";13015.4211313844
8;"28.10.2020";14210.8110532571
9;"29.10.2020";15640.0599255178
10;"30.10.2020";15868.9590193731
11;"31.10.2020";17081.3747241024
12;"01.11.2020";16343.596528277
13;"02.11.2020";16020.0986312708
14;"03.11.2020";17334.6648083439
15;"04.11.2020";18440.0151504914
16;"05.11.2020";19920.8963090028
17;"06.11.2020";20129.009575881
18;"07.11.2020";21395.5759165381
19;"08.11.2020";20738.1768696774
20;"09.11.2020";20604.9254910305
21;"10.11.2020";21818.5960761086
22;"11.11.2020";22976.1941473854
23;"12.11.2020";24319.698923934
24;"13.11.2020";24670.8416061372
25;"14.11.2020";25821.1657749201
26;"15.11.2020";25408.6797601819
27;"16.11.2020";25333.9626302306
28;"17.11.2020";26567.0154503356
29;"18.11.2020";27633.3597318255
30;"19.11.2020";28966.1285220352
