"h";"date";"prediction"
1;"16.03.2021";15853.990989537
2;"17.03.2021";27875.5475584847
3;"18.03.2021";29732.8321545824
4;"19.03.2021";27974.0081092189
5;"20.03.2021";28266.7728217861
6;"21.03.2021";24032.2159871755
7;"22.03.2021";13557.2204041625
8;"23.03.2021";21543.7631272063
9;"24.03.2021";36089.0451617912
10;"25.03.2021";38579.956915238
11;"26.03.2021";35382.7129995662
12;"27.03.2021";36011.5864523979
13;"28.03.2021";29749.1811391115
14;"29.03.2021";16721.2887620013
15;"30.03.2021";26100.8710443163
16;"31.03.2021";44774.9400147871
17;"01.04.2021";46623.4181505092
18;"02.04.2021";43857.5346187404
19;"03.04.2021";43583.1524976745
20;"04.04.2021";36883.1689361275
21;"05.04.2021";20355.41853084
22;"06.04.2021";32360.2094864808
23;"07.04.2021";54213.2158022792
24;"08.04.2021";57523.1032225294
25;"09.04.2021";53151.5262359527
26;"10.04.2021";53756.1739010927
27;"11.04.2021";44781.0172423747
28;"12.04.2021";25222.1279523208
29;"13.04.2021";39348.97146285
30;"14.04.2021";66678.6532079825
