"h";"date";"prediction"
1;"16.03.2021";17226.0349494999
2;"17.03.2021";31634.8990900015
3;"18.03.2021";32937.4925245011
4;"19.03.2021";29146.3729048897
5;"20.03.2021";27884.8581680003
6;"21.03.2021";21348.2504548155
7;"22.03.2021";10727.0149991333
8;"23.03.2021";17392.6462106224
9;"24.03.2021";31940.8737642849
10;"25.03.2021";33256.0659619641
11;"26.03.2021";29428.2784020669
12;"27.03.2021";28154.5622176677
13;"28.03.2021";21554.732035833
14;"29.03.2021";10830.7673427414
15;"30.03.2021";17560.8689460287
16;"31.03.2021";32249.8078442879
17;"01.04.2021";33577.7206611528
18;"02.04.2021";29712.910506414
19;"03.04.2021";28426.8748613602
20;"04.04.2021";21763.2107193011
21;"05.04.2021";10935.5231853476
22;"06.04.2021";17730.7187419964
23;"07.04.2021";32561.729953563
24;"08.04.2021";33902.4864242187
25;"09.04.2021";30000.2955898419
26;"10.04.2021";28701.8213295583
27;"11.04.2021";21973.7058213166
28;"12.04.2021";11041.2922328554
29;"13.04.2021";17902.2113355545
30;"14.04.2021";32876.6689925118
