"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"21.10.2020";129.649405164556;118.122138465914;141.176671863198;112.019972079727;147.278838249386
2;"22.10.2020";120.128949100645;108.581431838356;131.676466362935;102.468545451321;137.78935274997
3;"23.10.2020";131.773232768669;120.18138403253;143.365081504808;114.045029980813;149.501435556525
4;"24.10.2020";113.565600701172;101.896321170189;125.234880232156;95.7189777316639;131.412223670681
5;"25.10.2020";90.7565293960376;78.9681733397594;102.544885452316;72.7277945964188;108.785264195656
6;"26.10.2020";90.4062317865733;78.4493292207646;102.363134352382;72.1197273448415;108.692736228305
7;"27.10.2020";133.505589410248;121.323823250007;145.68735557049;114.875185777589;152.135993042907
8;"28.10.2020";159.333022645342;145.053406093561;173.612639197123;137.494233706218;181.171811584466
9;"29.10.2020";149.812566581431;135.223625108653;164.401508054209;127.500705999327;172.124427163535
10;"30.10.2020";161.456850249455;146.495463048189;176.41823745072;138.575383079792;184.338317419118
11;"31.10.2020";143.249218181958;127.849804862917;158.648631500998;119.697847874405;166.800588489511
12;"01.11.2020";120.440146876823;104.53572973302;136.344564020627;96.1164398680383;144.763853885608
13;"02.11.2020";120.089849267359;103.613030097348;136.56666843737;94.8907289032265;145.288969631491
14;"03.11.2020";163.189206891034;146.073016104628;180.30539767744;137.012252021788;189.366161760279
15;"04.11.2020";189.016640126127;169.315611867477;208.717668384778;158.886517481431;219.146762770823
16;"05.11.2020";179.496184062217;159.0965272753;199.895840849133;148.297601286234;210.694766838199
17;"06.11.2020";191.14046773024;169.980240574041;212.300694886439;158.778692952015;223.502242508466
18;"07.11.2020";172.932835662743;150.951594480392;194.914076845094;139.315428286249;206.550243039238
19;"08.11.2020";150.123764357609;127.262835909647;172.98469280557;115.160991406595;185.086537308622
20;"09.11.2020";149.773466748144;125.976129277432;173.570804218857;113.378579781016;186.168353715272
21;"10.11.2020";192.872824371819;168.084411188887;217.661237554751;154.962217901764;230.783430841875
22;"11.11.2020";218.700257606913;191.133798059771;246.266717154055;176.54099586022;260.859519353606
23;"12.11.2020";209.179801543002;180.585499247227;237.774103838777;165.44858996358;252.911013122424
24;"13.11.2020";220.824085211026;191.15137226218;250.496798159872;175.443586862823;266.204583559229
25;"14.11.2020";202.616453143529;171.816553752684;233.416352534374;155.512071894647;249.720834392411
26;"15.11.2020";179.807381838394;147.833288408845;211.781475267944;130.907225773582;228.707537903206
27;"16.11.2020";179.45708422893;146.263511976982;212.650656480878;128.691896248063;230.222272209796
28;"17.11.2020";222.556441852605;188.099768076223;257.013115628987;169.859506790101;275.253376915109
29;"18.11.2020";248.383875087698;211.052821002795;285.714929172601;191.29095469457;305.476795480827
30;"19.11.2020";238.863419023788;200.241350057372;277.485487990203;179.796061753283;297.930776294292
