"h";"date";"prediction"
1;"06.08.2020";644.676625433432
2;"07.08.2020";655.850626451337
3;"08.08.2020";665.93530882739
4;"09.08.2020";653.968976831776
5;"10.08.2020";633.803706633281
6;"11.08.2020";672.798291111366
7;"12.08.2020";666.995026334268
8;"13.08.2020";676.347101801972
9;"14.08.2020";687.521102819877
10;"15.08.2020";697.60578519593
11;"16.08.2020";685.639453200316
12;"17.08.2020";665.474183001822
13;"18.08.2020";704.468767479906
14;"19.08.2020";698.665502702808
15;"20.08.2020";708.017578170512
16;"21.08.2020";719.191579188417
17;"22.08.2020";729.27626156447
18;"23.08.2020";717.309929568857
19;"24.08.2020";697.144659370362
20;"25.08.2020";736.139243848446
21;"26.08.2020";730.335979071349
22;"27.08.2020";739.688054539052
23;"28.08.2020";750.862055556957
24;"29.08.2020";760.94673793301
25;"30.08.2020";748.980405937397
26;"31.08.2020";728.815135738902
27;"01.09.2020";767.809720216987
28;"02.09.2020";762.006455439889
29;"03.09.2020";771.358530907592
30;"04.09.2020";782.532531925497
