"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"26.09.2021";4.91118331292678;-76.6125650914896;86.4349317173431;-119.768630635457;129.59099726131
2;"27.09.2021";4.81270484816325;-77.1625013017613;86.7879109980878;-120.557554140067;130.182963836393
3;"28.09.2021";16.9044900410562;-65.6826358247413;99.4916159068537;-109.40161939345;143.210599475563
4;"29.09.2021";22.6863085146156;-60.6827836014174;106.055400630649;-104.815715098292;150.188332127523
5;"30.09.2021";15.8171818325934;-68.5087618743723;100.143125539559;-113.14822000652;144.782583671707
6;"01.10.2021";15.3922429832937;-70.0661536638094;100.850639630397;-115.305096170346;146.089582136933
7;"02.10.2021";19.739785859505;-67.0239017669222;106.503473485932;-112.953823579001;152.433395298011
8;"03.10.2021";7.15446016562323;-95.3530608658873;109.661981197134;-149.617264646608;163.926184977855
9;"04.10.2021";6.92143939326827;-96.9941610689348;110.837039855471;-152.003757074516;165.846635861052
10;"05.10.2021";18.8867515601256;-86.5737201650431;124.347223285294;-142.401121617336;180.174624737588
11;"06.10.2021";24.549682327647;-82.5848143786787;131.684179033973;-139.298391126184;188.397755781477
12;"07.10.2021";17.5687983240043;-91.360478266703;126.498074914712;-149.024154093842;184.161750741851
13;"08.10.2021";17.0388048870435;-93.7971407799929;127.87475055408;-152.470146247135;186.547756021222
14;"09.10.2021";21.2875939077704;-91.5578256668784;134.133013482419;-151.294582364344;193.869770179885
15;"10.10.2021";8.60943719917373;-119.394761571511;136.613635969858;-187.156091247459;204.374965645806
16;"11.10.2021";8.28915302580292;-121.683389391249;138.261695442855;-190.486697252428;207.065003304034
17;"12.10.2021";20.1724354832981;-111.844168602641;152.189039569237;-181.72953734896;222.074408315557
18;"13.10.2021";25.7582563383051;-108.370971657638;159.887484334248;-179.374695947149;230.89120862376
19;"14.10.2021";18.7048871502798;-117.598634849234;155.008409149794;-189.753360857466;227.163135158025
20;"15.10.2021";18.1067558853322;-120.426150983686;156.63966275435;-193.761042053437;229.974553824101
21;"16.10.2021";22.2914936983218;-118.519656178894;163.102643575537;-193.060576246467;237.64356364311
22;"17.10.2021";9.55312730394827;-145.206261804054;164.312516411951;-227.130933701593;246.23718830949
23;"18.10.2021";9.17624456843612;-147.76723613303;166.119725269902;-230.848096280083;249.200585416955
24;"19.10.2021";21.0063230074228;-138.156332585005;180.16897859985;-222.411952957419;264.424598972264
25;"20.10.2021";26.5421307971086;-134.87036518228;187.954626776497;-220.316979113056;273.401240707273
26;"21.10.2021";19.4417481170024;-144.24713498372;183.130631217724;-230.898795465157;269.782291699161
27;"22.10.2021";18.7994230314312;-147.188568162376;184.787414225239;-235.057302950378;272.65614901324
28;"23.10.2021";22.9426175832238;-145.363660979499;191.248896145946;-234.459622969399;280.344858135847
29;"24.10.2021";10.1651995176768;-170.862291069919;191.192690105273;-266.692455923269;287.022854958623
30;"25.10.2021";9.75160726592785;-173.489987058301;192.993201590157;-270.49222763007;289.995442161926
