"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"16.03.2021";17226.0349494999;11720.5176995228;22731.552199477;8806.07291571808;25645.9969832817
2;"17.03.2021";31634.8990900015;19512.5152634483;43757.2829165547;13095.3128996336;50174.4852803694
3;"18.03.2021";32937.4925245011;18479.5784774328;47395.4065715693;10826.0210974519;55048.9639515502
4;"19.03.2021";29146.3729048897;14876.8786572662;43415.8671525132;7323.06469406598;50969.6811157135
5;"20.03.2021";27884.8581680003;12922.7343290011;42846.9820069995;5002.2644081427;50767.4519278578
6;"21.03.2021";21348.2504548155;8948.66971185436;33747.8311977766;2384.72816433889;40311.7727452921
7;"22.03.2021";10727.0149991333;4044.54825645131;17409.4817418153;507.064046182304;20946.9659520843
8;"23.03.2021";17392.6462106224;5276.63602446933;29508.6563967754;-1137.19233792565;35922.4847591704
9;"24.03.2021";31940.8737642849;8473.93975998875;55407.8077685811;-3948.70470652232;67830.4522350922
10;"25.03.2021";33256.0659619641;7588.77651842808;58923.3554055;-5998.66575748687;72510.797681415
11;"26.03.2021";29428.2784020669;5647.32117827592;53209.2356258579;-6941.55713920601;65798.1139433399
12;"27.03.2021";28154.5622176677;4400.56765549789;51908.5567798375;-8174.03749109902;64483.1619264344
13;"28.03.2021";21554.732035833;2614.25349172313;40495.2105799429;-7412.23019532276;50521.6942669888
14;"29.03.2021";10830.7673427414;939.731950202426;20721.8027352804;-4296.26590382889;25957.8005893117
15;"30.03.2021";17560.8689460287;421.741691711472;34699.9962003459;-8651.16422380752;43772.9021158649
16;"31.03.2021";32249.8078442879;-305.30798492971;64804.9236735054;-17538.9452993917;82038.5609879675
17;"01.04.2021";33577.7206611528;-1433.48149653027;68588.9228188359;-19967.2923757196;87122.7336980252
18;"02.04.2021";29712.910506414;-2249.31696389703;61675.137976725;-19169.0981397736;78594.9191526016
19;"03.04.2021";28426.8748613602;-3085.36672580838;59939.1164485287;-19766.9397642178;76620.6894869381
20;"04.04.2021";21763.2107193011;-3073.67349837737;46600.0949369796;-16221.5258013512;59747.9472399534
21;"05.04.2021";10935.5231853476;-1900.81392462832;23771.8602953235;-8695.96032680935;30567.0066975045
22;"06.04.2021";17730.7187419964;-4146.68425651411;39608.1217405068;-15727.8818365356;51189.3193205283
23;"07.04.2021";32561.729953563;-8671.1673774495;73794.6272845755;-30498.5447320518;95622.0046391778
24;"08.04.2021";33902.4864242187;-10127.3017074766;77932.2745559139;-33435.2636165919;101240.236465029
25;"09.04.2021";30000.2955898419;-9934.5501383728;69935.1413180566;-31074.7804818747;91075.3716615585
26;"10.04.2021";28701.8213295583;-10436.2165232219;67839.8591823385;-31154.6422567639;88558.2849158805
27;"11.04.2021";21973.7058213166;-8704.13157854873;52651.543221182;-24943.9977217012;68891.4093643345
28;"12.04.2021";11041.2922328554;-4733.27035681757;26815.8548225284;-13083.8193731636;35166.4038388745
29;"13.04.2021";17902.2113355545;-8756.3633917473;44560.7860628563;-22868.560398845;58672.9830699539
30;"14.04.2021";32876.6689925118;-17160.3794953283;82913.7174803518;-43648.3929445592;109401.730929583
