"h";"date";"prediction"
1;"16.03.2021";273.613966729318
2;"17.03.2021";379.332108690438
3;"18.03.2021";353.178357722481
4;"19.03.2021";317.963767916328
5;"20.03.2021";312.62860973998
6;"21.03.2021";122.2767292934
7;"22.03.2021";40.2855473622688
8;"23.03.2021";273.613966729318
9;"24.03.2021";379.332108690438
10;"25.03.2021";353.178357722481
11;"26.03.2021";317.963767916328
12;"27.03.2021";312.62860973998
13;"28.03.2021";122.2767292934
14;"29.03.2021";40.2855473622688
15;"30.03.2021";273.613966729318
16;"31.03.2021";379.332108690438
17;"01.04.2021";353.178357722481
18;"02.04.2021";317.963767916328
19;"03.04.2021";312.62860973998
20;"04.04.2021";122.2767292934
21;"05.04.2021";40.2855473622688
22;"06.04.2021";273.613966729318
23;"07.04.2021";379.332108690438
24;"08.04.2021";353.178357722481
25;"09.04.2021";317.963767916328
26;"10.04.2021";312.62860973998
27;"11.04.2021";122.2767292934
28;"12.04.2021";40.2855473622688
29;"13.04.2021";273.613966729318
30;"14.04.2021";379.332108690438
