"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"21.10.2020";10617.5228055324;10326.9535946561;10908.0920164087;10173.1355458659;11061.9100651989
2;"22.10.2020";12192.3432808316;11891.2437704748;12493.4427911883;11731.8513178639;12652.8352437992
3;"23.10.2020";12032.489034812;11713.1374763934;12351.8405932306;11544.0829731791;12520.895096445
4;"24.10.2020";13721.9247248777;13375.6377700953;14068.2116796602;13192.3245293512;14251.5249204042
5;"25.10.2020";12544.3599316309;12162.313720731;12926.4061425307;11960.0706732619;13128.6491899998
6;"26.10.2020";11735.5073800838;11309.3266026466;12161.6881575209;11083.7201269309;12387.2946332366
7;"27.10.2020";13424.3259109524;12946.3744709546;13902.2773509501;12693.3622619348;14155.2895599699
8;"28.10.2020";14770.6253083704;14109.112438981;15432.1381777598;13758.928678932;15782.3219378087
9;"29.10.2020";16345.4457836695;15630.454598912;17060.436968427;15251.9611287678;17438.9304385713
10;"30.10.2020";16185.59153765;15410.6758454465;16960.5072298535;15000.4602572489;17370.722818051
11;"31.10.2020";17875.0272277157;17034.2206125204;18715.833842911;16589.1244766661;19160.9299787654
12;"01.11.2020";16697.4624344688;15785.2632362446;17609.6616326931;15302.3741498347;18092.550719103
13;"02.11.2020";15888.6098829217;14899.9441912751;16877.2755745683;14376.5761883944;17400.6435774491
14;"03.11.2020";17577.4284137903;16507.6041934103;18647.2526341704;15941.2734606008;19213.5833669799
15;"04.11.2020";18923.7278112084;17672.0617358454;20175.3938865713;17009.4697397125;20837.9858827042
16;"05.11.2020";20498.5482865075;19163.749762864;21833.3468101509;18457.1501069136;22539.9464661013
17;"06.11.2020";20338.694040488;18916.3896374202;21760.9984435557;18163.4671670528;22513.9209139231
18;"07.11.2020";22028.1297305537;20514.2054280962;23542.0540330111;19712.7823126949;24343.4771484124
19;"08.11.2020";20850.5649373068;19241.1399732161;22459.9899013975;18389.1618613432;23311.9680132704
20;"09.11.2020";20041.7123857597;18333.1146390831;21750.3101324363;17428.6376273287;22654.7871441908
21;"10.11.2020";21730.5309166283;19919.2744166089;23541.7874166477;18960.453143524;24500.6086897326
22;"11.11.2020";23076.8303140463;21079.3819511584;25074.2786769343;20021.9966596742;26131.6639684184
23;"12.11.2020";24651.6507893455;22549.2120955874;26754.0894831035;21436.2482801861;27867.0532985048
24;"13.11.2020";24491.7965433259;22281.0239848508;26702.5691018011;21110.7116856289;27872.881401023
25;"14.11.2020";26181.2322333917;23858.9249376505;28503.5395291328;22629.5697150341;29732.8947517493
26;"15.11.2020";25003.6674401448;22566.7540741817;27440.5808061079;21276.7300627149;28730.6048175746
27;"16.11.2020";24194.8148885977;21640.3418083051;26749.2879688902;20288.0854432453;28101.54433395
28;"17.11.2020";25883.6334194663;23208.7540295492;28558.5128093833;21792.758414372;29974.5084245606
29;"18.11.2020";27229.9328168843;24361.9790683921;30097.8865653765;22843.7760616681;31616.0895721005
30;"19.11.2020";28804.7532921834;25813.9239901826;31795.5825941842;24230.6745945872;33378.8319897796
